id,observed_on,latitude,longitude,scientific_name
40173810,17/03/2020,52.19985833,-2.22509167,Muntiacus reevesi
40550695,22/03/2020,51.72430028,-1.246631778,Muntiacus reevesi
40553295,22/03/2020,51.694805,-0.01758883,Muntiacus reevesi
41097383,31/03/2020,51.59268934,-1.423721071,Muntiacus reevesi
41149694,17/09/2017,52.952777,0.666388,Muntiacus reevesi
41541567,04/04/2020,52.62487397,1.329131,Muntiacus reevesi
41628357,07/04/2020,52.08166922,-2.45647675,Muntiacus reevesi
41628358,07/04/2020,52.06799591,-2.576211148,Muntiacus reevesi
41672710,07/04/2020,51.92805799,0.62849904,Muntiacus reevesi
41674798,08/04/2020,51.65450696,-0.379547714,Muntiacus reevesi
41788008,04/04/2020,52.62524973,1.329410226,Muntiacus reevesi
41828696,08/10/2018,52.6254524,1.234034,Muntiacus reevesi
41953383,01/03/2020,51.67079857,-1.257612696,Muntiacus reevesi
41953384,22/03/2020,51.6788913,-1.27276719,Muntiacus reevesi
42036572,12/04/2020,51.6884,-0.882325,Muntiacus reevesi
42222172,15/04/2020,52.51849041,-2.077258565,Muntiacus reevesi
42420663,31/03/2020,51.6292372,-0.482846482,Muntiacus reevesi
42669986,20/04/2020,53.15099197,0.218030445,Muntiacus reevesi
42777755,21/04/2020,52.64468167,1.320383333,Muntiacus reevesi
42858087,22/04/2020,52.19515272,-2.46549032,Muntiacus reevesi
43067175,24/04/2020,51.66562121,0.041046515,Muntiacus reevesi
43082017,24/04/2020,51.66405591,0.041772723,Muntiacus reevesi
43139088,24/04/2020,52.35592833,0.00078056,Muntiacus reevesi
43368689,24/04/2020,52.0015434,-2.462870358,Muntiacus reevesi
43368692,25/04/2020,52.0151413,-2.585783918,Muntiacus reevesi
43383292,25/04/2020,51.51217136,-1.129138237,Muntiacus reevesi
43588554,26/04/2020,52.05762923,-2.490419525,Muntiacus reevesi
43608097,26/04/2020,52.48043424,-0.613520684,Muntiacus reevesi
43610719,26/04/2020,51.28789167,-1.99384667,Muntiacus reevesi
43872401,27/04/2020,51.35745735,-2.357552424,Muntiacus reevesi
43892591,27/04/2020,51.6637387,0.0412421,Muntiacus reevesi
43960144,26/04/2020,51.39464888,-2.30056556,Muntiacus reevesi
43972262,27/04/2020,51.66405591,0.041772723,Muntiacus reevesi
44278362,26/04/2020,52.13614883,-2.744518766,Muntiacus reevesi
44377401,30/04/2020,52.17141319,-2.564129563,Muntiacus reevesi
44454627,12/04/2020,51.49044667,-2.553106667,Muntiacus reevesi
44493408,06/10/2019,52.13804637,0.177577578,Muntiacus reevesi
44493411,06/10/2019,52.10612076,0.18370147,Muntiacus reevesi
44597277,19/04/2020,51.542649,-0.543962,Muntiacus reevesi
44718871,26/05/2019,51.4091266,-0.6392096,Muntiacus reevesi
44759317,29/04/2020,52.02214841,-2.757490225,Muntiacus reevesi
