id,observed_on,latitude,longitude,scientific_name,taxon_id
316926321,22/09/2025,53.38904516,-3.068936952,Vulpes vulpes,42069
316943943,27/09/2025,54.33272489,-0.710389428,Capreolus capreolus capreolus,1053987
316968442,10/09/2025,53.63889694,-1.777824283,Vulpes vulpes,42069
316984256,27/09/2025,51.68356705,-3.445671797,Vulpes vulpes,42069
316989554,27/09/2025,55.68509667,-1.820605,Capreolus capreolus,42184
317039641,25/09/2025,53.10538406,-1.227621585,Capreolus capreolus,42184
317059519,09/08/2025,51.53810629,-2.470845318,Capreolus capreolus,42184
317070659,21/09/2025,52.0705137,1.1339586,Vulpes vulpes,42069
317073398,26/09/2025,52.44591667,0.509055556,Vulpes vulpes,42069
317147859,24/05/2025,52.19920556,0.104005556,Vulpes vulpes,42069
317154474,28/09/2025,55.95434167,-3.192175,Vulpes vulpes,42069
317205235,24/09/2025,55.6255475,-3.047443142,Capreolus capreolus,42184
317207287,28/09/2025,51.48177,-0.296011667,Vulpes vulpes,42069
317216788,28/09/2025,51.206763,-0.656659612,Capreolus capreolus,42184
317218316,03/04/2020,50.815625,-1.847814024,Capreolus capreolus,42184
317237415,27/09/2025,55.68330781,-1.793071101,Capreolus capreolus,42184
317249371,28/09/2025,51.56418667,0.602346667,Vulpes vulpes,42069
317264384,17/06/2025,50.99013495,-0.472094416,Vulpes vulpes,42069
317272803,28/09/2025,52.73768833,1.678486667,Capreolus capreolus,42184
317289676,27/09/2025,54.90932833,-1.492592447,Capreolus capreolus,42184
317299172,28/09/2025,55.946219,-3.263013,Capreolus capreolus,42184
317300574,24/09/2025,55.62728456,-3.07614891,Vulpes vulpes,42069
317300580,26/09/2025,55.62728456,-3.07614891,Capreolus capreolus,42184
317311624,28/09/2025,51.50574935,-2.655483149,Vulpes vulpes,42069
317348903,15/05/2021,50.70963333,-3.514230556,Vulpes vulpes,42069
317348909,30/04/2020,50.70965278,-3.513761111,Vulpes vulpes,42069
317350046,10/08/2025,57.28064763,-3.824161174,Capreolus capreolus,42184
317357481,28/09/2025,55.8616704,-4.2583345,Capreolus capreolus,42184
317361157,28/09/2025,54.74005169,-1.470032057,Capreolus capreolus,42184
317365383,28/09/2025,51.16216337,-2.853857196,Capreolus capreolus,42184
317400442,28/09/2025,55.88517351,-3.228677586,Capreolus capreolus,42184
317428588,13/09/2025,51.72199437,-2.128570039,Vulpes vulpes,42069
317474869,29/09/2025,52.640599,-1.160906972,Vulpes vulpes,42069
317480134,29/09/2025,52.40759375,-1.533889803,Vulpes vulpes crucigera,1081616
317484100,29/09/2025,51.26439285,0.537024975,Vulpes vulpes,42069
317492934,29/09/2025,56.18699386,-3.94467216,Capreolus capreolus,42184
317494647,15/09/2025,51.42403056,-0.158116667,Vulpes vulpes crucigera,1081616
317529153,29/09/2025,54.66484715,-3.250263669,Capreolus capreolus,42184
317529863,28/09/2025,55.951089,-3.0286977,Capreolus capreolus,42184
317530040,29/09/2025,54.62700842,-3.201141693,Capreolus capreolus,42184
317534619,29/09/2025,51.545525,-0.01513055,Vulpes vulpes,42069
317561548,29/09/2025,50.81753284,-1.212576898,Vulpes vulpes,42069
317563266,29/09/2025,57.59657656,-3.58638151,Capreolus capreolus,42184
317578597,29/09/2025,51.54964323,-0.228258669,Vulpes vulpes,42069
317587221,26/09/2023,55.92457,-3.168778333,Vulpes vulpes,42069
317618510,29/09/2025,53.69382271,-0.687178805,Capreolus capreolus,42184
317626108,29/09/2025,52.89805509,-1.231634317,Vulpes vulpes,42069
317640487,29/09/2025,51.44054782,-0.184396841,Vulpes vulpes,42069
317645602,29/09/2025,52.5004308,-2.1527832,Vulpes vulpes,42069
317690752,29/04/2022,51.49583552,-0.178391092,Vulpes vulpes,42069
317691986,29/04/2022,51.49584874,-0.178370036,Vulpes vulpes,42069
317723550,25/09/2025,50.87333252,-0.089899419,Vulpes vulpes,42069
317739428,26/12/2022,51.39187114,-0.280769299,Vulpes vulpes,42069
317741763,29/09/2025,53.01806479,-1.167723709,Capreolus capreolus,42184
317744177,13/09/2025,53.77287,-2.62853,Capreolus capreolus,42184
317798020,30/09/2025,52.48125773,-1.49850876,Capreolus capreolus,42184
317801096,29/09/2025,53.55482833,-2.359695,Capreolus capreolus,42184
317821658,28/09/2025,54.2104637,-0.3052161,Capreolus capreolus,42184
317831817,30/09/2025,51.34827716,-2.621937345,Capreolus capreolus,42184
317832240,30/09/2025,56.01897777,-2.861113962,Capreolus capreolus,42184
317851643,19/06/2025,51.66921581,-2.421734103,Capreolus capreolus,42184
317864478,30/09/2025,52.62419667,-1.147708333,Vulpes vulpes,42069
317874335,25/06/2025,51.66923904,-2.42186003,Capreolus capreolus,42184
317891644,01/10/2025,50.812805,0.248388333,Vulpes vulpes,42069
317938328,30/09/2025,52.40759375,-1.533889803,Vulpes vulpes crucigera,1081616
317949642,04/05/2025,53.991395,-2.3102,Vulpes vulpes,42069
317952272,01/07/2025,52.43345311,-1.904016264,Vulpes vulpes,42069
317952399,03/07/2025,52.43343541,-1.903990755,Vulpes vulpes,42069
317952661,07/07/2025,52.43343541,-1.903990755,Vulpes vulpes,42069
317952662,08/07/2025,52.43343541,-1.903990755,Vulpes vulpes,42069
317952663,09/08/2025,52.43343541,-1.903990755,Vulpes vulpes,42069
317955656,01/10/2025,51.359755,-2.937663333,Vulpes vulpes,42069
317971049,30/09/2025,53.95446486,-1.069271676,Vulpes vulpes,42069
317972411,01/10/2025,53.26517487,-2.849286079,Vulpes vulpes,42069
317986007,30/09/2025,51.41850556,0.111161111,Vulpes vulpes,42069
318020037,01/07/2025,51.43404667,-0.069286167,Vulpes vulpes,42069
318029711,01/10/2025,51.77904271,-1.58614073,Capreolus capreolus,42184
318033281,01/10/2025,51.40798,-0.643336667,Capreolus capreolus,42184
318062717,01/10/2025,52.90883255,1.254927397,Capreolus capreolus,42184
318067911,30/09/2025,51.54745038,-0.702042998,Capreolus capreolus,42184
318144682,02/10/2025,56.84562516,-5.110005216,Capreolus capreolus,42184
318154672,02/10/2025,51.48568353,-0.699559366,Capreolus capreolus,42184
318161840,30/05/2020,52.66628505,0.974242687,Capreolus capreolus,42184
318190141,02/10/2025,52.09399167,-1.322588333,Capreolus capreolus,42184
318193320,24/06/2024,51.18250556,-0.85538889,Capreolus capreolus,42184
318236112,02/10/2025,54.12518617,-0.877196667,Capreolus capreolus,42184
318357897,03/10/2025,52.533744,-1.922724,Vulpes vulpes,42069
318385969,03/10/2025,51.48249167,-0.292966667,Vulpes vulpes,42069
318392825,03/10/2025,52.8989,-1.228647222,Vulpes vulpes,42069
318397163,03/10/2025,56.66417899,-5.058355719,Capreolus capreolus,42184
318409396,02/10/2025,51.20711467,-2.850778818,Capreolus capreolus,42184
318421910,29/09/2025,54.21980433,-0.291323562,Capreolus capreolus,42184
318423825,23/12/2024,51.50520333,-0.130391667,Vulpes vulpes,42069
318443302,03/10/2025,51.48204422,0.122547701,Vulpes vulpes,42069
318487545,02/10/2025,53.77311333,-0.360683333,Vulpes vulpes,42069
318498283,03/10/2025,52.43403333,-1.814138333,Vulpes vulpes,42069
318583629,27/09/2025,55.30813404,-1.912428774,Capreolus capreolus capreolus,1053987
318600345,13/09/2025,55.8626806,-4.3408769,Vulpes vulpes,42069
318637051,03/10/2025,51.47627167,-0.302953333,Vulpes vulpes,42069
318642204,04/10/2025,51.56099237,0.028894929,Vulpes vulpes,42069
318675007,30/09/2025,51.17935562,-2.839696646,Capreolus capreolus,42184
318695183,04/10/2025,51.00693448,-1.604819494,Capreolus capreolus,42184
318713844,04/10/2025,52.92494143,-0.669151504,Capreolus capreolus,42184
318763307,30/09/2025,50.7222526,-2.749248,Capreolus capreolus,42184
318827522,05/10/2023,51.7522377,-0.328822406,Vulpes vulpes,42069
318829184,16/09/2022,51.22109942,-0.389311411,Vulpes vulpes,42069
318873108,05/10/2025,50.762955,-1.96145,Capreolus capreolus,42184
318896503,05/10/2025,51.1349989,-3.4526103,Capreolus capreolus,42184
318899207,13/09/2025,51.48260488,-0.292161542,Vulpes vulpes,42069
318911007,24/09/2025,54.8864613,-3.67121636,Capreolus capreolus,42184
318911009,24/09/2025,54.8864613,-3.67121636,Capreolus capreolus,42184
318911010,24/09/2025,54.8864613,-3.67121636,Capreolus capreolus,42184
318911075,24/09/2025,54.88669735,-3.673001866,Capreolus capreolus,42184
318911088,25/09/2025,54.88670012,-3.673371224,Capreolus capreolus,42184
318911103,25/09/2025,54.88670012,-3.673371224,Capreolus capreolus,42184
318911104,25/09/2025,54.88670012,-3.673371224,Capreolus capreolus,42184
318923789,27/09/2025,51.58045959,-0.670853913,Capreolus capreolus,42184
318940818,01/10/2025,54.21960588,-0.291065126,Capreolus capreolus,42184
318944784,01/06/2025,50.83043637,-0.12371555,Vulpes vulpes,42069
318998307,05/10/2025,55.95139322,-3.025774595,Capreolus capreolus,42184
319081799,20/09/2025,51.30658616,0.038558431,Capreolus capreolus,42184
319090938,05/10/2025,55.28267295,-1.737945768,Capreolus capreolus,42184
319131493,06/10/2025,52.37803639,-1.43540402,Capreolus capreolus,42184
319147941,06/10/2025,53.84924218,-0.1903677,Capreolus capreolus,42184
319148566,06/10/2025,53.83594048,-0.255434476,Capreolus capreolus,42184
319183203,06/02/2025,51.086844,-0.174106,Capreolus capreolus,42184
319183209,17/03/2025,51.086844,-0.174106,Vulpes vulpes,42069
319183216,30/03/2025,51.086844,-0.174106,Capreolus capreolus,42184
319218526,06/10/2025,51.48023611,-0.092716667,Vulpes vulpes,42069
319222425,06/10/2025,50.81755,-0.1162805,Vulpes vulpes,42069
319227176,10/08/2025,55.26063157,-1.56930792,Vulpes vulpes,42069
319233332,16/09/2025,51.756875,-1.24643,Vulpes vulpes,42069
319349018,07/10/2025,53.79062834,-0.356699798,Capreolus capreolus,42184
319373233,06/10/2025,51.42778663,-2.57357955,Vulpes vulpes crucigera,1081616
319424237,05/10/2025,53.58803472,0.129850171,Capreolus capreolus,42184
319434116,24/01/2024,52.42199031,-3.669813422,Vulpes vulpes,42069
319460344,20/07/2025,51.66924246,-2.421919091,Vulpes vulpes,42069
319460358,25/07/2025,51.66924246,-2.421919091,Capreolus capreolus,42184
319528314,07/10/2025,51.47663462,-0.039432945,Vulpes vulpes,42069
319536538,02/10/2025,51.72274989,0.595107414,Vulpes vulpes,42069
319609264,26/09/2025,53.76991557,-2.63230138,Capreolus capreolus,42184
319610990,03/01/2023,50.20111333,-5.204716667,Vulpes vulpes,42069
319612368,07/10/2025,51.47874359,-0.295573063,Vulpes vulpes,42069
319613164,08/10/2025,54.12678359,-0.72167851,Capreolus capreolus capreolus,1053987
319613267,08/10/2025,54.12682367,-0.721365362,Capreolus capreolus capreolus,1053987
319621623,08/10/2025,54.84678965,-1.449014624,Capreolus capreolus,42184
319626460,07/10/2025,52.94374587,-0.608305818,Capreolus capreolus,42184
319639260,08/10/2025,51.53361111,-0.102580556,Vulpes vulpes,42069
319643919,08/10/2025,51.53723333,-0.115202778,Vulpes vulpes,42069
319644002,08/10/2025,51.53701389,-0.120336111,Vulpes vulpes,42069
319672061,08/10/2025,51.36966944,-0.241544444,Vulpes vulpes,42069
319700319,04/10/2025,55.94565738,-3.992534168,Capreolus capreolus,42184
319721955,26/09/2025,57.08252395,-3.983544682,Capreolus capreolus,42184
319723341,26/02/2023,51.29258667,-0.260945,Capreolus capreolus,42184
319751598,09/10/2025,50.85160011,-0.205411311,Vulpes vulpes,42069
319756384,09/10/2025,53.98246787,-1.887115091,Capreolus capreolus,42184
319767763,09/10/2025,51.63323221,-0.511695087,Capreolus capreolus,42184
319767765,09/10/2025,51.63404583,-0.511546522,Capreolus capreolus,42184
319792053,02/10/2025,52.33454412,1.398983878,Capreolus capreolus,42184
319825524,07/10/2025,52.94374587,-0.608305818,Capreolus capreolus,42184
319827640,12/01/2025,50.83089167,-0.198845,Vulpes vulpes,42069
319834789,30/09/2025,52.0300238,-0.477331908,Vulpes vulpes,42069
319933230,26/09/2025,52.36592269,-2.050181343,Vulpes vulpes,42069
319940655,10/10/2025,57.24695528,-5.911127329,Capreolus capreolus,42184
319953624,10/10/2025,51.43683537,-2.42073721,Vulpes vulpes,42069
319998483,10/10/2025,52.5410188,-1.6955402,Vulpes vulpes,42069
319999973,10/10/2025,54.916224,-1.593055,Capreolus capreolus,42184
320003788,10/10/2025,50.82078286,0.177065358,Vulpes vulpes crucigera,1081616
320022594,06/09/2025,51.47641747,-0.38819729,Vulpes vulpes,42069
320109963,10/10/2025,54.85698298,-1.768022877,Capreolus capreolus,42184
320110024,10/10/2025,54.87813378,-1.978384052,Capreolus capreolus,42184
320110274,10/10/2025,54.87939069,-1.998164929,Capreolus capreolus,42184
320115950,07/10/2025,51.47708816,-0.184787383,Vulpes vulpes,42069
320116263,10/10/2025,51.77248833,-0.72928,Capreolus capreolus,42184
320136915,11/10/2025,52.184675,0.139691667,Vulpes vulpes,42069
320138508,11/10/2025,52.526775,-1.813595,Vulpes vulpes,42069
320139663,11/10/2025,52.20486444,0.106089108,Vulpes vulpes,42069
320167086,27/07/2025,52.01939977,-1.825195973,Capreolus capreolus,42184
320175951,02/10/2025,51.30656389,0.038483333,Capreolus capreolus,42184
320200471,11/10/2025,55.83388097,-3.987814972,Capreolus capreolus,42184
320226484,11/10/2025,56.03413089,-2.629509871,Capreolus capreolus capreolus,1053987
320258338,11/10/2025,52.5701,0.342786667,Capreolus capreolus,42184
320273209,11/10/2025,55.6701524,-1.801072,Capreolus capreolus,42184
320333632,08/07/2025,51.522225,-0.1331195,Vulpes vulpes,42069
320374026,06/10/2025,51.281795,0.531208333,Vulpes vulpes,42069
320381089,12/10/2025,51.46222172,-0.062709041,Vulpes vulpes,42069
320384298,09/10/2025,53.48415,-1.0703555,Capreolus capreolus,42184
320386648,12/10/2025,55.95188626,-3.041588572,Vulpes vulpes,42069
320386725,11/10/2025,54.92357315,-1.73321262,Capreolus capreolus,42184
320387035,11/10/2025,53.20417863,-2.899944373,Vulpes vulpes,42069
320389914,12/10/2025,50.67458743,-3.828995415,Capreolus capreolus,42184
320390406,12/10/2025,50.67459153,-3.829053743,Capreolus capreolus,42184
320392540,12/10/2025,50.67456346,-3.828982646,Capreolus capreolus,42184
320394072,30/09/2025,50.67443228,-3.826810733,Vulpes vulpes,42069
320437833,08/10/2025,56.68546907,-3.18157129,Vulpes vulpes crucigera,1081616
320442429,11/10/2025,53.80597027,-2.624053957,Capreolus capreolus,42184
320442786,12/10/2025,55.63547029,-4.609473087,Capreolus capreolus,42184
